Datetime,Close
2019-01-08 00:00:00-05:00,150.63
2019-01-09 00:00:00-05:00,153.37
2019-01-10 00:00:00-05:00,153.55
2019-01-11 00:00:00-05:00,152.0534
2019-01-14 00:00:00-05:00,149.76
2019-01-15 00:00:00-05:00,152.95
2019-01-16 00:00:00-05:00,154.91
2019-01-17 00:00:00-05:00,155.53
2019-01-18 00:00:00-05:00,156.57
2019-01-22 00:00:00-05:00,152.93
2019-01-23 00:00:00-05:00,153.6799
2019-01-24 00:00:00-05:00,152.63
2019-01-25 00:00:00-05:00,157.5
2019-01-28 00:00:00-05:00,156.0878
2019-01-29 00:00:00-05:00,154.5
2019-01-30 00:00:00-05:00,165.49
2019-01-31 00:00:00-05:00,166.6249
2019-02-01 00:00:00-05:00,166.62
2019-02-04 00:00:00-05:00,170.99
2019-02-05 00:00:00-05:00,174.01
2019-02-06 00:00:00-05:00,174.1699
2019-02-07 00:00:00-05:00,170.64
2019-02-08 00:00:00-05:00,170.04
2019-02-11 00:00:00-05:00,169.43
2019-02-12 00:00:00-05:00,170.7384
2019-02-13 00:00:00-05:00,169.98
2019-02-14 00:00:00-05:00,170.98
2019-02-15 00:00:00-05:00,170.25
2019-02-19 00:00:00-05:00,170.8499
2019-02-20 00:00:00-05:00,172.09
2019-02-21 00:00:00-05:00,171.14
2019-02-22 00:00:00-05:00,172.97
2019-02-25 00:00:00-05:00,174.26
2019-02-26 00:00:00-05:00,174.35
2019-02-27 00:00:00-05:00,174.88
2019-02-28 00:00:00-05:00,173.2
2019-03-01 00:00:00-05:00,174.97
2019-03-04 00:00:00-05:00,175.86
2019-03-05 00:00:00-05:00,175.51
2019-03-06 00:00:00-05:00,174.51
2019-03-07 00:00:00-05:00,172.47
2019-03-08 00:00:00-05:00,172.92
2019-03-11 00:00:00-04:00,178.98
2019-03-12 00:00:00-04:00,180.94
2019-03-13 00:00:00-04:00,181.72
2019-03-14 00:00:00-04:00,183.73
2019-03-15 00:00:00-04:00,186.21
2019-03-18 00:00:00-04:00,188.03
2019-03-19 00:00:00-04:00,186.54
2019-03-20 00:00:00-04:00,188.17
2019-03-21 00:00:00-04:00,195.05
2019-03-22 00:00:00-04:00,191.06
2019-03-25 00:00:00-04:00,188.77
2019-03-26 00:00:00-04:00,186.79
2019-03-27 00:00:00-04:00,188.47
2019-03-28 00:00:00-04:00,188.71
2019-03-29 00:00:00-04:00,189.94
2019-04-01 00:00:00-04:00,191.24
2019-04-02 00:00:00-04:00,194.04
2019-04-03 00:00:00-04:00,195.35
2019-04-04 00:00:00-04:00,195.72
2019-04-05 00:00:00-04:00,196.97
2019-04-08 00:00:00-04:00,200.08
2019-04-09 00:00:00-04:00,199.5
2019-04-10 00:00:00-04:00,200.66
2019-04-11 00:00:00-04:00,198.95
2019-04-12 00:00:00-04:00,198.88
2019-04-15 00:00:00-04:00,199.23
2019-04-16 00:00:00-04:00,199.25
2019-04-17 00:00:00-04:00,203.12
2019-04-18 00:00:00-04:00,203.86
2019-04-22 00:00:00-04:00,204.64
2019-04-23 00:00:00-04:00,207.51
2019-04-24 00:00:00-04:00,207.18
2019-04-25 00:00:00-04:00,205.24
2019-04-26 00:00:00-04:00,204.29
2019-04-29 00:00:00-04:00,204.61
2019-04-30 00:00:00-04:00,200.57
2019-05-01 00:00:00-04:00,210.52
2019-05-02 00:00:00-04:00,209.17
2019-05-03 00:00:00-04:00,211.78
2019-05-06 00:00:00-04:00,208.6
2019-05-07 00:00:00-04:00,202.86
2019-05-08 00:00:00-04:00,202.9
2019-05-09 00:00:00-04:00,200.72
2019-05-10 00:00:00-04:00,197.3
2019-05-13 00:00:00-04:00,185.72
2019-05-14 00:00:00-04:00,188.65
2019-05-15 00:00:00-04:00,190.92
2019-05-16 00:00:00-04:00,190.14
2019-05-17 00:00:00-04:00,188.98
2019-05-20 00:00:00-04:00,183.09
2019-05-21 00:00:00-04:00,186.59
2019-05-22 00:00:00-04:00,182.79
2019-05-23 00:00:00-04:00,179.67
2019-05-24 00:00:00-04:00,179.06
2019-05-28 00:00:00-04:00,178.17
2019-05-29 00:00:00-04:00,177.35
2019-05-30 00:00:00-04:00,178.25
2019-05-31 00:00:00-04:00,175.0
2019-06-03 00:00:00-04:00,173.28
2019-06-04 00:00:00-04:00,179.67
2019-06-05 00:00:00-04:00,182.541
2019-06-06 00:00:00-04:00,185.23
2019-06-07 00:00:00-04:00,190.14
2019-06-10 00:00:00-04:00,192.52
2019-06-11 00:00:00-04:00,194.81
2019-06-12 00:00:00-04:00,194.19
2019-06-13 00:00:00-04:00,194.74
2019-06-14 00:00:00-04:00,192.745
2019-06-17 00:00:00-04:00,193.95
2019-06-18 00:00:00-04:00,198.5
2019-06-19 00:00:00-04:00,197.86
2019-06-20 00:00:00-04:00,199.3794
2019-06-21 00:00:00-04:00,198.8
2019-06-24 00:00:00-04:00,198.55
2019-06-25 00:00:00-04:00,195.57
2019-06-26 00:00:00-04:00,199.8
2019-06-27 00:00:00-04:00,199.73
2019-06-28 00:00:00-04:00,197.92
2019-07-01 00:00:00-04:00,201.68
2019-07-02 00:00:00-04:00,202.71
2019-07-03 00:00:00-04:00,204.41
2019-07-05 00:00:00-04:00,204.25
2019-07-08 00:00:00-04:00,200.01
2019-07-09 00:00:00-04:00,201.22
2019-07-10 00:00:00-04:00,203.21
2019-07-11 00:00:00-04:00,201.74
2019-07-12 00:00:00-04:00,203.24
2019-07-15 00:00:00-04:00,205.2
2019-07-16 00:00:00-04:00,204.49
2019-07-17 00:00:00-04:00,203.28
2019-07-18 00:00:00-04:00,205.66
2019-07-19 00:00:00-04:00,202.57
2019-07-22 00:00:00-04:00,207.22
2019-07-23 00:00:00-04:00,208.825
2019-07-24 00:00:00-04:00,208.67
2019-07-25 00:00:00-04:00,207.05
2019-07-26 00:00:00-04:00,207.75
2019-07-29 00:00:00-04:00,209.67
2019-07-30 00:00:00-04:00,208.884
2019-07-31 00:00:00-04:00,212.78
2019-08-01 00:00:00-04:00,208.4595
2019-08-02 00:00:00-04:00,204.09
2019-08-05 00:00:00-04:00,193.22
2019-08-06 00:00:00-04:00,196.98
2019-08-07 00:00:00-04:00,199.14
2019-08-08 00:00:00-04:00,203.45
2019-08-09 00:00:00-04:00,200.93
2019-08-12 00:00:00-04:00,200.5
2019-08-13 00:00:00-04:00,208.98
2019-08-14 00:00:00-04:00,202.75
2019-08-15 00:00:00-04:00,201.74
2019-08-16 00:00:00-04:00,206.44
